시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
강남구,서울특별시,[서울둘레길 4코스] 대모·우면산코스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d60cf54d-79e1-44b9-9f8f-ff35be28161a,레포츠,육상 레포츠,트래킹,684
강남구,서울특별시,율현공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d09a414b-5010-424e-a791-7dbcab13d5f9,인문(문화/예술/역사),휴양관광지,공원,630
강남구,서울특별시,갤러리위,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5a53b447-bd2e-4a45-9b7d-6cd5b01a36bb,인문(문화/예술/역사),문화시설,미술관/화랑,596
강남구,서울특별시,강남,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1805e874-d89f-422d-bcbd-fa8ac33c30a8,인문(문화/예술/역사),체험관광지,이색체험,542
강남구,서울특별시,도산공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9a8f6485-b995-4f2a-9cb2-0555e55072bd,자연,자연관광지,자연생태관광지,530
강남구,서울특별시,맥파이앤타이거 신사티룸,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b730be58-d46c-465a-a924-97122ae17185,음식,음식점,카페/전통찻집,515
강남구,서울특별시,하우스 도산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=384bb015-1067-4e81-8e7d-849b93d73379,쇼핑,쇼핑,전문매장/상가,494
강남구,서울특별시,서울옥션 강남센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f8a25c55-7290-4d9c-b7f8-e13c2fe34759,쇼핑,쇼핑,전문매장/상가,491
강남구,서울특별시,스케줄청담,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=32b5673c-8559-4e47-b9a7-b34df52803db,음식,음식점,서양식,434
강남구,서울특별시,예본의 집[한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0664a9fa-d1c3-4dc6-9de4-e170c1ce7b00,숙박,숙박시설,게스트하우스,432
강남구,서울특별시,코엑스 아쿠아리움,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8e7b1144-74cf-48f8-82b2-d64d54d2f0da,인문(문화/예술/역사),휴양관광지,테마공원,431
강남구,서울특별시,전주이씨광평대군파묘역,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6d1edf63-f72d-4334-8888-a11f50214d7b,인문(문화/예술/역사),역사관광지,유적지/사적지,421
