시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
강동구,서울특별시,뚝섬 야외수영장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a071dc03-5996-4e7f-ae98-c6c848b38110,레포츠,수상 레포츠,수영,111
강동구,서울특별시,우드멜로우,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8d76408f-f1f8-4e19-8ee3-dee8c1f8dec9,음식,음식점,카페/전통찻집,108
강동구,서울특별시,일자산자연공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ebec9918-21a6-45f2-b808-47698f237756,자연,자연관광지,자연휴양림,104
강동구,서울특별시,암사종합시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=17d6715b-c81f-4a08-977c-b74643cf9ead,쇼핑,쇼핑,상설시장,101
강동구,서울특별시,송월냉면,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9f6b3ece-1006-425a-ba86-89c10fd8cb51,음식,음식점,한식,100
강동구,서울특별시,수라연,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=751671f0-8548-48a4-86fe-b0e8ea534b0d,음식,음식점,한식,98
강동구,서울특별시,황도바지락칼국수,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=250d8d4f-c430-4587-a21b-fc2705059499,음식,음식점,한식,96
강동구,서울특별시,산수고원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e2a7bcd2-4326-4ea6-963f-03bb52541459,음식,음식점,한식,95
강동구,서울특별시,주문진,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f76ad115-e873-4b2a-b5b0-0fd6c02ebe15,음식,음식점,일식,89
강동구,서울특별시,33Acre,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=81fd04a5-75a8-4698-afbf-7f4992769152,음식,음식점,서양식,88
강동구,서울특별시,차이나린찐,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e3bb7ce3-c526-4099-be00-6f5fb0f7339b,음식,음식점,중식,87
강동구,서울특별시,브랜뉴하이몬드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=961ae1e9-7a1a-48ab-9cd5-743d16e6d3ce,음식,음식점,카페/전통찻집,83
강동구,서울특별시,육대쌈 암사점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e693ef44-03b4-4ad3-8319-f7481686520c,음식,음식점,한식,82
강동구,서울특별시,고덕동 생태경관 보전지역,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=14047b9f-4385-40d9-9b50-44101ea82d66,자연,자연관광지,자연생태관광지,80
강동구,서울특별시,깎뜨쌀국수,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=91a09603-6f32-4f9d-afbf-beb4c85dd907,음식,음식점,이색음식점,79
강동구,서울특별시,평상시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2c96f4f4-b0c2-4501-847f-d5c151ba0088,음식,음식점,카페/전통찻집,69
강동구,서울특별시,버섯잔치집 본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b8e7e015-8e7a-440b-a3a7-f3aa33ece53e,음식,음식점,한식,69
강동구,서울특별시,천호자전거거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c7a8ddfd-7175-421a-9d2a-5eb5ed67fc09,인문(문화/예술/역사),체험관광지,이색거리,66
강동구,서울특별시,꿀꿀진순대 강동본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8a13ee69-dd5d-4d78-9258-ceaa1e43b583,음식,음식점,한식,66
강동구,서울특별시,고추장구이,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c0966a1b-cb95-4c44-83fd-fb75cf5c489f,음식,음식점,한식,65
강동구,서울특별시,으뜸횟집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e36b6ab1-5be5-491c-9a9d-bc884b35f028,음식,음식점,일식,60
강동구,서울특별시,서울특별시교육청 고덕평생학습관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=80f8b158-e190-426d-928d-80af974ac721,인문(문화/예술/역사),문화시설,도서관,53
강동구,서울특별시,강동문화원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=72edfa06-f064-40ee-9df5-130cce347646,인문(문화/예술/역사),문화시설,문화원,51
강동구,서울특별시,봉래면옥,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=53fec0ab-ea60-4fba-aa75-822090d39ae4,음식,음식점,한식,43
강동구,서울특별시,라이트룸 서울,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=24231efa-00c5-4ec3-bb8d-f0916f95524f,인문(문화/예술/역사),문화시설,전시관,39
강동구,서울특별시,셀프하우스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=588fa19f-5db0-4daa-8fa5-57a5017dacc3,음식,음식점,한식,39
강동구,서울특별시,강동예찬시비,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c96e4ce5-0272-4991-831b-7cd22cbfa604,인문(문화/예술/역사),역사관광지,유적지/사적지,38
강동구,서울특별시,발리관광호텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=af9c7e53-a054-484a-b279-f11764a6458f,숙박,숙박시설,관광호텔,37
강동구,서울특별시,화진포막국수 강동구청점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=45f3241c-6a3b-4287-9357-d2582b81611a,음식,음식점,한식,33
강동구,서울특별시,스테이지28,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0472090b-8530-4092-a8c4-551e5d2c3ea6,음식,음식점,서양식,32
