시군구명,시도명,관광지명,Unnamed: 3,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수,맛집정보,숙박정보
강남구,서울특별시,도산공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9a8f6485-b995-4f2a-9cb2-0555e55072bd,자연,자연관광지,자연생태관광지,530,"[('모노클 도산', '이탈리아음식'), ('설온', '샤브샤브'), ('달리아 다이닝', '양식'), ('갓잇 압구정 도산공원점', '멕시코,남미음식'), ('미나미 도산공원점', '일식당'), ('압구정도롱뇽', '요리주점'), ('꽁티드툴레아', '브런치'), ('플르서라구뜨', '브런치')]","[('호텔리베라 아노블리', '호텔'), ('임피리얼 팰리스 서울(휴업)', '호텔'), ('미미미 펜트하우스', '게스트하우스'), ('프린세스호텔', '호텔'), ('임폐리얼펠리스호텔연회장', '호텔'), ('베스트도쿄빌리지', '기타숙박업')]"
강남구,서울특별시,코엑스 아쿠아리움,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8e7b1144-74cf-48f8-82b2-d64d54d2f0da,인문(문화/예술/역사),휴양관광지,테마공원,431,"[('수백당 삼성점 24시', '국밥'), ('명우돈가', '소고기구이'), ('루아', '이자카야'), ('김이정 숯불구이', '육류,고기요리'), ('도쿄사이카보 청담본점', '일식당'), ('놉스 삼성점', '스테이크,립'), ('중앙해장', '해장국'), ('동어동락 삼성본점', '생선회')]","[('그랜드 인터컨티넨탈 서울 파르나스', '호텔'), ('인터컨티넨탈 서울 코엑스', '호텔'), ('신라스테이 삼성', '호텔'), ('글래드 강남 코엑스센터', '호텔'), ('파크 하얏트 서울', '호텔'), ('오크우드 프리미어 코엑스 센터', '호텔')]"
강남구,서울특별시,도곡시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=20259aa9-bde9-488b-9a2f-461303e68362,쇼핑,쇼핑,상설시장,405,"[('속초오징어 어시장 도곡점', '생선회')]","[('그랜드 인터컨티넨탈 서울 파르나스', '호텔'), ('조선 팰리스 서울 강남', '호텔'), ('인터컨티넨탈 서울 코엑스', '호텔'), ('이비스 스타일 앰배서더 강남', '호텔'), ('신라스테이 삼성', '호텔'), ('신라스테이 역삼', '호텔')]"
강남구,서울특별시,플랫폼엘,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=34b047e9-0b63-4b79-8c83-0e0645d73b77,인문(문화/예술/역사),문화시설,전시관,348,"[('플렛폼엘', '카페'), ('티티엠서울', '카페,디저트')]","[('아난티 앳 강남', '호텔'), ('엘리에나호텔', '호텔'), ('임피리얼 팰리스 서울(휴업)', '호텔'), ('포포인츠 바이 쉐라톤 서울 강남', '호텔'), ('에이든 바이 베스트웨스턴 청담', '호텔'), ('휴모텔', '모텔')]"
강남구,서울특별시,마루공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e4d4343f-038f-4bc2-9deb-4627d76d95bc,자연,자연관광지,자연생태관광지,326,"[('오븐마루치킨 동탄호수공원점', '치킨,닭강정'), ('마루야 송해공원', '한식'), ('피자마루 용산효창공원점', '피자'), ('치킨마루 청라5단지호수공원점', '치킨,닭강정'), ('치킨마루 고척공원점', '치킨,닭강정'), ('치킨마루 무선호수공원점', '치킨,닭강정')]","[('호텔잠실스테이', '호텔'), ('포레스타호텔', '호텔'), ('24게스트하우스 잠실점', '게스트하우스'), ('호텔상주', '호텔'), ('신비하우스', '민박'), ('호텔 더 캐슬 신천', '호텔')]"
강남구,서울특별시,코엑스 아쿠아리움,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8e7b1144-74cf-48f8-82b2-d64d54d2f0da,자연,자연관광지,자연생태관광지,322,"[('수백당 삼성점 24시', '국밥'), ('명우돈가', '소고기구이'), ('루아', '이자카야'), ('김이정 숯불구이', '육류,고기요리'), ('도쿄사이카보 청담본점', '일식당'), ('놉스 삼성점', '스테이크,립'), ('중앙해장', '해장국'), ('동어동락 삼성본점', '생선회')]","[('그랜드 인터컨티넨탈 서울 파르나스', '호텔'), ('인터컨티넨탈 서울 코엑스', '호텔'), ('신라스테이 삼성', '호텔'), ('글래드 강남 코엑스센터', '호텔'), ('파크 하얏트 서울', '호텔'), ('오크우드 프리미어 코엑스 센터', '호텔')]"
강남구,서울특별시,마루공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e4d4343f-038f-4bc2-9deb-4627d76d95bc,인문(문화/예술/역사),휴양관광지,테마공원,314,"[('오븐마루치킨 동탄호수공원점', '치킨,닭강정'), ('마루야 송해공원', '한식'), ('피자마루 용산효창공원점', '피자'), ('치킨마루 청라5단지호수공원점', '치킨,닭강정'), ('치킨마루 고척공원점', '치킨,닭강정'), ('치킨마루 무선호수공원점', '치킨,닭강정')]","[('호텔잠실스테이', '호텔'), ('포레스타호텔', '호텔'), ('24게스트하우스 잠실점', '게스트하우스'), ('호텔상주', '호텔'), ('신비하우스', '민박'), ('호텔 더 캐슬 신천', '호텔')]"
강남구,서울특별시,10꼬르소꼬모 청담점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ae3bfc2e-d1cb-4ba8-8da7-3ffa40197b33,쇼핑,쇼핑,전문매장/상가,293,"[('10꼬르소꼬모 카페 청담점', '양식')]","[('호텔리베라 아노블리', '호텔'), ('프린세스호텔', '호텔'), ('미미미 펜트하우스', '게스트하우스'), ('소미하우스', '게스트하우스'), ('청춘호텔', '호텔'), ('안다즈 서울강남', '호텔')]"
강남구,서울특별시,불국사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1c6274bb-f6ae-4080-a7ca-33193742e4af,인문(문화/예술/역사),역사관광지,사찰,264,"[('디멘션커피 로스터스&에스프레소바', '카페,디저트'), ('상화오리', '오리요리'), ('늘봄', '한식'), ('최고집사랑하면', '한식'), ('전주시골밥상 경주불국사본점', '한식'), ('콩이랑', '두부요리'), ('경주우렁각시', '한식'), ('원조떡갈비', '한정식')]","[('코오롱 호텔', '호텔'), ('이제경주', '호텔'), ('성호리조트', '콘도,리조트'), ('누아르블랑 독채풀빌라', '펜션'), ('청춘한옥', '펜션'), ('경주 오아시스 글램핑', '캠핑,야영장')]"
강남구,서울특별시,강남,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1805e874-d89f-422d-bcbd-fa8ac33c30a8,인문(문화/예술/역사),산업관광지,기타,240,"[('목구멍 가로수길점', '육류,고기요리'), ('강삼가든', '육류,고기요리'), ('구구당', '퓨전음식'), ('바비레드 강남본점', '이탈리아음식'), ('영차떡볶이', '떡볶이'), ('도쿄사이카보 청담본점', '일식당'), ('판교집 학동직영점', '소고기구이'), ('압구정도롱뇽', '요리주점')]","[('그랜드 인터컨티넨탈 서울 파르나스', '호텔'), ('조선 팰리스 서울 강남', '호텔'), ('인터컨티넨탈 서울 코엑스', '호텔'), ('노보텔 앰배서더 서울 강남', '호텔'), ('신라스테이 삼성', '호텔'), ('글래드 강남 코엑스센터', '호텔')]"
강남구,서울특별시,학동공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e67d389e-9bb0-4d54-88d3-45e6f7f29aab,인문(문화/예술/역사),휴양관광지,공원,224,"[('갓포우오', '이자카야'), ('목구멍 가로수길점', '육류,고기요리'), ('달리아 다이닝', '양식'), ('트라가 가로수길점', '스페인음식'), ('정돈 신사점', '돈가스'), ('미미면가 본점', '일식당'), ('카이센동우니도', '일식당'), ('쿠라우니', '카페,디저트')]","[('아난티 앳 강남', '호텔'), ('노보텔 앰배서더 서울 강남', '호텔'), ('파티오세븐호텔', '호텔'), ('보코서울강남', '호텔'), ('애인호텔', '모텔'), ('여수모텔닷컴', '모텔')]"
